district,case_number,date,party,fine,n_fines,days_since_covid,case_type
OKLAHOMA,CF-2020-01293,2021-05-24,18151303,50,1,434,CF
OKLAHOMA,CF-2020-01294,2021-08-25,18151313,150,1,527,CF
OKLAHOMA,CF-2020-01295,2020-06-29,18151318,80,1,105,CF
OKLAHOMA,CF-2020-01297,2022-07-25,18151322,50,1,861,CF
OKLAHOMA,CF-2020-01298,2021-11-10,18151331,100,1,604,CF
OKLAHOMA,CF-2020-01299,2021-07-28,18151518,50,1,499,CF
OKLAHOMA,CF-2020-01301,2021-04-21,18151544,150,1,401,CF
OKLAHOMA,CF-2020-01302,2020-06-15,18151549,100,1,91,CF
OKLAHOMA,CF-2020-01302,2020-06-19,18151553,100,1,95,CF
OKLAHOMA,CF-2020-01305,2020-08-24,18151606,50,1,161,CF
OKLAHOMA,CF-2020-01307,2020-04-23,18151618,410,3,38,CF
OKLAHOMA,CF-2020-01310,2021-03-17,18152458,1000,3,366,CF
OKLAHOMA,CF-2020-01313,2020-06-10,18152488,100,1,86,CF
OKLAHOMA,CF-2020-01314,2020-08-26,18152510,100,1,163,CF
OKLAHOMA,CF-2020-01318,2021-05-07,18152679,550,1,417,CF
OKLAHOMA,CF-2020-01319,2022-03-23,18152846,50,1,737,CF
OKLAHOMA,CF-2020-01320,2022-04-11,17331670,50,1,756,CF
OKLAHOMA,CF-2020-01321,2020-06-08,18152905,250,1,84,CF
OKLAHOMA,CF-2020-01322,2020-05-19,18152924,50,1,64,CF
OKLAHOMA,CF-2020-01323,2020-06-30,18152941,100,1,106,CF
OKLAHOMA,CF-2020-01323,2021-10-22,18152943,500,1,585,CF
OKLAHOMA,CF-2020-01324,2020-05-26,18152951,50,1,71,CF
OKLAHOMA,CF-2020-01324,2020-07-01,18152949,100,1,107,CF
OKLAHOMA,CF-2020-01327,2021-01-20,18153169,50,1,310,CF
OKLAHOMA,CF-2020-01327,2021-01-20,18153174,50,1,310,CF
OKLAHOMA,CF-2020-01328,2021-09-08,18153188,100,1,541,CF
OKLAHOMA,CF-2020-01330,2020-04-21,18153218,25,1,36,CF
OKLAHOMA,CF-2020-01333,2020-08-11,18153271,50,1,148,CF
OKLAHOMA,CF-2020-01334,2022-04-20,18012850,50,1,765,CF
OKLAHOMA,CF-2020-01335,2021-02-25,18153562,100,1,346,CF
OKLAHOMA,CF-2020-01336,2020-09-22,17875112,175,2,190,CF
OKLAHOMA,CF-2020-01337,2020-12-08,18088203,100,1,267,CF
OKLAHOMA,CF-2020-01338,2021-03-17,18153572,50,1,366,CF
OKLAHOMA,CF-2020-01340,2020-09-01,18153582,50,1,169,CF
OKLAHOMA,CF-2020-01341,2021-07-08,16412751,50,1,479,CF
OKLAHOMA,CF-2020-01343,2020-09-17,18125529,100,1,185,CF
OKLAHOMA,CF-2020-01345,2021-03-03,18153614,45,1,352,CF
OKLAHOMA,CF-2020-01346,2020-04-21,17903048,50,1,36,CF
OKLAHOMA,CF-2020-01347,2020-07-27,18153630,50,1,133,CF
OKLAHOMA,CF-2020-01348,2020-09-04,18153691,100,1,172,CF
OKLAHOMA,CF-2020-01349,2020-09-15,18153694,100,1,183,CF
OKLAHOMA,CF-2020-01350,2020-08-28,18153697,50,1,165,CF
OKLAHOMA,CF-2020-01352,2021-07-12,15752329,100,1,483,CF
OKLAHOMA,CF-2020-01354,2021-01-28,17684757,100,1,318,CF
OKLAHOMA,CF-2020-01355,2021-05-26,18153736,100,1,436,CF
OKLAHOMA,CF-2020-01356,2020-11-13,18153740,50,1,242,CF
OKLAHOMA,CF-2020-01357,2021-09-20,17102346,50,1,553,CF
OKLAHOMA,CF-2020-01358,2020-05-22,16897180,100,1,67,CF
OKLAHOMA,CF-2020-01359,2020-11-12,17785104,100,1,241,CF
OKLAHOMA,CF-2020-01362,2020-04-21,17954702,1100,2,36,CF
OKLAHOMA,CF-2020-01365,2020-09-02,18154442,100,1,170,CF
OKLAHOMA,CF-2020-01366,2020-10-02,18154457,100,1,200,CF
OKLAHOMA,CF-2020-01367,2020-06-09,18154677,50,1,85,CF
OKLAHOMA,CF-2020-01370,2020-04-30,18154715,250,3,45,CF
